rank	sac_streams	grts_ranking	grts_ranking_draw	segment_id	point_code	segment_id_v1_7	prop_3260
255412	intersecting or downstream	1764882	1764882	2023_255412	1764882_1	1_7_3419	100
124218	intersecting or downstream	53352310	1841014	2023_124218	1841014_2	1_7_31125	76
39219	intersecting or downstream	1867858	1867858	2023_39219	1867858_1	1_7_7177	100
255356	intersecting or downstream	1880594	1880594	2023_255356	1880594_1	1_4_435	98
39231	intersecting or downstream	1917010	1917010	2023_39231	1917010_1	1_4_125	100
194186	intersecting or downstream	2031030	2031030	2023_194186	2031030_1	1_7_171136	100
194187	intersecting or downstream	43974070	2031030	2023_194187	2031030_2	1_7_171136	100
238513	intersecting or downstream	2050322	2050322	2023_238513	2050322_1	1_7_20555	100
144632	intersecting or downstream	2123986	2123986	1_7_19326	2123986_1	1_7_19326	100
206678	outside	2124662	2124662	1_7_34547	2124662_1	1_7_34547	100
255430	outside	2129938	2129938	2023_255430	2129938_1	1_4_404	100
224817	intersecting or downstream	2133494	2133494	1_4_1393	2133494_1	1_4_1393	100
176609	outside	2151105	2151105	2023_176609	2151105_1	1_4_1466	100
83584	intersecting or downstream	2169582	2169582	2023_83584	2169582_1	1_7_46206	13
39328	intersecting or downstream	2221394	2221394	2023_39328	2221394_1	1_4_222	100
212376	intersecting or downstream	2241970	2241970	2023_212376	2241970_1	1_4_348	100
238519	intersecting or downstream	2246930	2246930	1_4_1110	2246930_1	1_4_1110	100
39376	intersecting or downstream	2252274	2252274	1_4_270	2252274_1	1_4_270	100
123545	intersecting or downstream	2291670	2291670	2023_123545	2291670_1	1_4_603	100
39224	intersecting or downstream	2342994	2342994	1_4_118	2342994_1	1_4_118	100
206698	outside	2366582	2366582	2023_206698	2366582_1	1_4_1182	100
213813	intersecting or downstream	2369362	2369362	1_4_55	2369362_1	1_4_55	100
209504	outside	2387410	2387410	2023_209504	2387410_1	1_4_1498	16
238649	intersecting or downstream	2448146	2448146	2023_238649	2448146_1	1_7_3495	68
224825	intersecting or downstream	2465270	2465270	2023_224825	2465270_1	1_4_1402	67
39440	intersecting or downstream	2476530	2476530	1_4_1859	2476530_1	1_4_1859	100
39398	intersecting or downstream	2477554	2477554	1_4_292	2477554_1	1_4_292	100
47689	intersecting or downstream	2485086	2485086	2023_47689	2485086_1	1_4_806	100
39121	intersecting or downstream	2498978	2498978	1_7_8873	2498978_1	1_7_8873	100
206723	outside	2505846	2505846	2023_206723	2505846_1	NA	100
5561	outside	2516958	2516958	2023_5561	2516958_1	NA	100
39306	intersecting or downstream	2548050	2548050	1_4_200	2548050_1	1_4_200	100
144627	intersecting or downstream	2566354	2566354	2023_144627	2566354_1	1_7_19473	70
218819	intersecting or downstream	2589570	2589570	2023_218819	2589570_1	1_4_956	100
259169	intersecting or downstream	2685046	2685046	2023_259169	2685046_1	1_4_1458	100
46039	outside	2706038	2706038	1_7_55007	2706038_1	1_7_55007	100
166762	outside	2811126	2811126	2023_166762	2811126_1	1_7_30980	86
123769	intersecting or downstream	2817750	2817750	2023_123769	2817750_1	1_7_27117	85
39484	intersecting or downstream	2853618	2853618	1_4_1815	2853618_1	1_4_1815	100
238623	intersecting or downstream	2992914	2992914	2023_238623	2992914_1	1_4_926	34
45967	intersecting or downstream	2999158	2999158	2023_45967	2999158_1	1_7_38243	87
39359	intersecting or downstream	3034610	3034610	2023_39359	3034610_1	1_4_253	100
5558	outside	3041246	3041246	1_4_1139	3041246_1	1_4_1139	100
218824	outside	3048322	3048322	1_4_24	3048322_1	1_4_24	100
39056	intersecting or downstream	17795554	3115490	1_4_969	3115490_2	1_4_969	100
39057	intersecting or downstream	3115490	3115490	2023_39057	3115490_1	1_4_969	100
206695	outside	3153014	3153014	1_4_1179	3153014_1	1_4_1179	100
212387	intersecting or downstream	3173042	3173042	2023_212387	3173042_1	1_4_359	100
39447	intersecting or downstream	3197426	3197426	1_4_1852	3197426_1	1_4_1852	100
194175	intersecting or downstream	3210678	3210678	2023_194175	3210678_1	NA	100
39411	intersecting or downstream	3214834	3214834	1_7_20152	3214834_1	1_7_20152	100
39264	intersecting or downstream	3238226	3238226	2023_39264	3238226_1	1_4_158	100
238582	intersecting or downstream	3240210	3240210	2023_238582	3240210_1	1_4_1054	6
39075	intersecting or downstream	3328482	3328482	1_7_8899	3328482_1	1_7_8899	100
255406	intersecting or downstream	45084178	3337746	1_7_3424	3337746_2	1_7_3424	100
255407	intersecting or downstream	3337746	3337746	2023_255407	3337746_1	1_7_3424	100
259138	intersecting or downstream	3378422	3378422	2023_259138	3378422_1	NA	100
39279	intersecting or downstream	3402066	3402066	1_4_173	3402066_1	1_4_173	100
39234	intersecting or downstream	3406162	3406162	1_4_128	3406162_1	1_4_128	100
218800	intersecting or downstream	3431858	3431858	1_4_1041	3431858_1	1_4_1041	100
238616	intersecting or downstream	3481874	3481874	2023_238616	3481874_1	1_4_919	99
218761	intersecting or downstream	3483058	3483058	2023_218761	3483058_1	1_4_9	100
39413	intersecting or downstream	3598834	3598834	1_7_20150	3598834_1	1_7_20150	100
216091	intersecting or downstream	3634002	3634002	1_7_27889	3634002_1	1_7_27889	100
221119	intersecting or downstream	3717106	3717106	1_7_114570	3717106_1	1_7_114570	100
224928	intersecting or downstream	3729270	3729270	2023_224928	3729270_1	1_4_1535	100
39149	intersecting or downstream	3734610	3734610	1_7_8845	3734610_1	1_7_8845	100
39489	intersecting or downstream	3757298	3757298	1_4_1810	3757298_1	1_4_1810	100
166800	outside	3792430	3792430	1_4_1434	3792430_1	1_4_1434	100
212344	intersecting or downstream	3799218	3799218	2023_212344	3799218_1	1_4_317	100
206740	outside	3832950	3832950	2023_206740	3832950_1	1_4_1224	31
167912	intersecting or downstream	3864710	3864710	2023_167912	3864710_1	NA	49
5592	outside	3868638	3868638	2023_5592	3868638_1	NA	100
39365	intersecting or downstream	3886578	3886578	1_4_259	3886578_1	1_4_259	100
218772	intersecting or downstream	3902898	3902898	2023_218772	3902898_1	1_4_20	100
252508	outside	3930614	3930614	2023_252508	3930614_1	1_4_1636	27
5607	intersecting or downstream	3968990	3968990	2023_5607	3968990_1	1_7_28258	17
175052	intersecting or downstream	3991617	3991617	2023_175052	3991617_1	NA	100
238737	outside	4055250	4055250	1_4_63	4055250_1	1_4_63	100
238592	intersecting or downstream	4092178	4092178	2023_238592	4092178_1	NA	100
224951	intersecting or downstream	4110198	4110198	1_4_1556	4110198_1	1_4_1556	53
39498	intersecting or downstream	4117746	4117746	2023_39498	4117746_1	1_4_1800	100
123786	intersecting or downstream	4146134	4146134	1_7_11707	4146134_1	1_7_11707	100
218796	intersecting or downstream	4152754	4152754	2023_218796	4152754_1	1_4_1037	100
218797	intersecting or downstream	33512882	4152754	1_4_1037	4152754_2	1_4_1037	100
259125	intersecting or downstream	37747958	4193526	2023_259125	4193526_2	1_4_838	94
259126	intersecting or downstream	4193526	4193526	2023_259126	4193526_1	1_4_838	100
224921	intersecting or downstream	4204406	4204406	1_7_31111	4204406_1	1_7_31111	100
209488	outside	4206034	4206034	2023_209488	4206034_1	NA	100
252561	outside	4217718	4217718	2023_252561	4217718_1	1_4_717	100
104298	outside	4241758	4241758	2023_104298	4241758_1	NA	67
250732	outside	4247526	4247526	2023_250732	4247526_1	1_7_158455	56
39198	intersecting or downstream	4268114	4268114	1_7_7743	4268114_1	1_7_7743	100
90383	intersecting or downstream	41926046	4275614	2023_90383	4275614_2	1_4_1640	100
90384	intersecting or downstream	4275614	4275614	2023_90384	4275614_1	1_4_1640	100
39143	intersecting or downstream	4324434	4324434	1_7_8851	4324434_1	1_7_8851	100
123492	intersecting or downstream	4367318	4367318	2023_123492	4367318_1	1_4_459	100
226460	outside	4377874	4377874	2023_226460	4377874_1	NA	100
200563	intersecting or downstream	4405142	4405142	2023_200563	4405142_1	NA	100
239841	intersecting or downstream	4405142	4405142	2023_239841	4405142_2	NA	5
218822	outside	4424578	4424578	2023_218822	4424578_1	1_4_22	102
39225	intersecting or downstream	4440146	4440146	2023_39225	4440146_1	1_4_119	100
40024	outside	4478366	4478366	2023_40024	4478366_1	NA	35
218768	intersecting or downstream	4492722	4492722	2023_218768	4492722_1	NA	100
201260	outside	4500694	4500694	2023_201260	4500694_1	1_7_42902	41
113049	outside	4583670	4583670	2023_113049	4583670_1	1_7_215273	100
46042	outside	4590198	4590198	2023_46042	4590198_1	1_7_55004	100
39094	intersecting or downstream	4623442	4623442	2023_39094	4623442_1	1_4_997	100
39327	intersecting or downstream	4646226	4646226	2023_39327	4646226_1	NA	100
39373	intersecting or downstream	4677106	4677106	2023_39373	4677106_1	1_4_267	100
260213	intersecting or downstream	4678802	4678802	2023_260213	4678802_1	1_4_412	100
90379	intersecting or downstream	4767134	4767134	2023_90379	4767134_1	NA	100
5616	intersecting or downstream	4771806	4771806	2023_5616	4771806_1	1_7_28147	100
224930	intersecting or downstream	4777846	4777846	2023_224930	4777846_1	NA	91
45964	intersecting or downstream	4834166	4834166	2023_45964	4834166_1	NA	100
206738	outside	4881526	4881526	2023_206738	4881526_1	NA	83
218812	intersecting or downstream	4965042	4965042	2023_218812	4965042_1	1_4_950	100
252510	outside	4979190	4979190	2023_252510	4979190_1	1_4_1638	100
33414	intersecting or downstream	5012950	5012950	2023_33414	5012950_1	NA	100
90386	intersecting or downstream	5062046	5062046	2023_90386	5062046_1	1_4_1643	100
213781	intersecting or downstream	5118034	5118034	2023_213781	5118034_1	1_4_58	100
260203	intersecting or downstream	5136530	5136530	2023_260203	5136530_1	1_7_18789	77
224809	intersecting or downstream	5230070	5230070	2023_224809	5230070_1	1_4_1386	100
255353	intersecting or downstream	5288466	5288466	2023_255353	5288466_1	1_4_432	100
39487	intersecting or downstream	5330162	5330162	2023_39487	5330162_1	NA	100
123676	intersecting or downstream	5457142	5457142	2023_123676	5457142_1	NA	22
238604	intersecting or downstream	5464338	5464338	2023_238604	5464338_1	1_4_908	100
240902	outside	5505106	5505106	2023_240902	5505106_1	NA	38
39194	intersecting or downstream	5578834	5578834	2023_39194	5578834_1	NA	100
46037	outside	5589622	5589622	2023_46037	5589622_1	1_7_55009	100
230706	outside	5593042	5593042	2023_230706	5593042_1	NA	100
252550	outside	5655030	5655030	2023_252550	5655030_1	NA	63
103408	intersecting or downstream	5699382	5699382	2023_103408	5699382_1	1_4_1348	100
123544	intersecting or downstream	5699542	5699542	2023_123544	5699542_1	NA	100
144626	intersecting or downstream	5712082	5712082	2023_144626	5712082_1	1_4_504	85
238504	intersecting or downstream	5788522	5788522	2023_238504	5788522_1	NA	100
45971	intersecting or downstream	5849974	5849974	2023_45971	5849974_1	NA	70
144615	intersecting or downstream	5850898	5850898	2023_144615	5850898_1	1_4_493	100
218782	intersecting or downstream	5852594	5852594	2023_218782	5852594_1	NA	33
169150	outside	5856006	5856006	2023_169150	5856006_1	NA	98
123466	intersecting or downstream	5948374	5948374	2023_123466	5948374_1	NA	100
219276	outside	5951681	5951681	2023_219276	5951681_1	1_4_1367	100
39416	intersecting or downstream	5958130	5958130	2023_39416	5958130_1	1_7_20147	100
212391	intersecting or downstream	6056626	6056626	2023_212391	6056626_1	1_4_364	100
5576	outside	6072286	6072286	2023_5576	6072286_1	1_4_1677	100
45939	intersecting or downstream	6104950	6104950	2023_45939	6104950_1	NA	51
39380	intersecting or downstream	6118898	6118898	2023_39380	6118898_1	NA	100
39082	intersecting or downstream	6146530	6146530	2023_39082	6146530_1	NA	102
206706	outside	6249590	6249590	2023_206706	6249590_1	NA	100
33416	intersecting or downstream	6258134	6258134	2023_33416	6258134_1	NA	100
39221	intersecting or downstream	6275154	6275154	2023_39221	6275154_1	1_4_115	100
241244	intersecting or downstream	6348178	6348178	2023_241244	6348178_1	NA	61
194177	intersecting or downstream	6356406	6356406	2023_194177	6356406_1	NA	100
39101	intersecting or downstream	6376530	6376530	2023_39101	6376530_1	NA	100
90108	intersecting or downstream	6396462	6396462	2023_90108	6396462_1	1_7_209739	98
212349	intersecting or downstream	6448050	6448050	2023_212349	6448050_1	1_4_322	100
103399	intersecting or downstream	6459190	6459190	2023_103399	6459190_1	NA	100
39343	intersecting or downstream	6544882	6544882	2023_39343	6544882_1	NA	100
39476	intersecting or downstream	6552050	6552050	2023_39476	6552050_1	NA	100
260487	intersecting or downstream	6643305	6643305	2023_260487	6643305_1	NA	50
144038	outside	6644950	6644950	2023_144038	6644950_1	1_7_209217	100
259144	intersecting or downstream	6655222	6655222	2023_259144	6655222_1	NA	100
238642	intersecting or downstream	6707986	6707986	2023_238642	6707986_1	1_4_898	100
113037	outside	6725878	6725878	2023_113037	6725878_1	NA	100
123458	intersecting or downstream	6733526	6733526	2023_123458	6733526_1	NA	100
39070	intersecting or downstream	6769122	6769122	2023_39070	6769122_1	1_7_8903	100
39126	intersecting or downstream	6824354	6824354	2023_39126	6824354_1	1_7_8868	100
209483	outside	6827474	6827474	2023_209483	6827474_1	1_4_1477	100
230700	outside	6838226	6838226	2023_230700	6838226_1	NA	8
166826	outside	6929966	6929966	2023_166826	6929966_1	NA	100
226468	outside	6954258	6954258	2023_226468	6954258_1	1_4_886	100
216086	intersecting or downstream	6976338	6976338	2023_216086	6976338_1	NA	100
90119	intersecting or downstream	6996014	6996014	2023_90119	6996014_1	NA	100
255360	intersecting or downstream	7036434	7036434	2023_255360	7036434_1	NA	96
123780	intersecting or downstream	7062486	7062486	2023_123780	7062486_1	1_7_11713	100
102599	intersecting or downstream	7063286	7063286	2023_102599	7063286_1	NA	100
241376	intersecting or downstream	7065746	7065746	2023_241376	7065746_1	1_4_545	100
144004	outside	7115990	7115990	2023_144004	7115990_1	NA	100
218809	intersecting or downstream	7127730	7127730	2023_218809	7127730_1	NA	100
39080	intersecting or downstream	7195106	7195106	2023_39080	7195106_1	NA	100
259134	intersecting or downstream	7208182	7208182	2023_259134	7208182_1	NA	100
260186	intersecting or downstream	7213202	7213202	2023_260186	7213202_1	1_7_18806	100
213899	intersecting or downstream	7219794	7219794	2023_213899	7219794_1	NA	72
255433	outside	7241746	7241746	2023_255433	7241746_1	1_4_407	39
39496	intersecting or downstream	7263474	7263474	2023_39496	7263474_1	1_4_1802	100
39267	intersecting or downstream	7301458	7301458	2023_39267	7301458_1	1_4_161	100
255478	outside	7320594	7320594	2023_255478	7320594_1	1_4_1231	100
5577	outside	7383006	7383006	2023_5577	7383006_1	NA	100
176608	outside	7393985	7393985	2023_176608	7393985_1	NA	100
39226	intersecting or downstream	7454802	7454802	2023_39226	7454802_1	1_4_120	100
209481	outside	7477810	7477810	2023_209481	7477810_1	1_4_1475	89
39162	intersecting or downstream	7502930	7502930	2023_39162	7502930_1	NA	100
200565	intersecting or downstream	7550870	7550870	2023_200565	7550870_1	1_4_1692	49
206716	outside	7552118	7552118	2023_206716	7552118_1	NA	100
39370	intersecting or downstream	7560690	7560690	2023_39370	7560690_1	1_4_264	100
203457	intersecting or downstream	7609510	7609510	2023_203457	7609510_1	1_7_1591	100
252551	outside	7621110	7621110	2023_252551	7621110_1	1_4_707	100
39289	intersecting or downstream	7639378	7639378	2023_39289	7639378_1	1_4_183	100
218807	intersecting or downstream	7652018	7652018	2023_218807	7652018_1	NA	100
111579	outside	7656862	7656862	2023_111579	7656862_1	NA	100
224919	intersecting or downstream	7677814	7677814	2023_224919	7677814_1	NA	100
238736	outside	7725266	7725266	2023_238736	7725266_1	1_4_62	100
230697	outside	7731154	7731154	2023_230697	7731154_1	NA	100
238571	intersecting or downstream	7844114	7844114	2023_238571	7844114_1	1_4_1057	100
166829	outside	7847470	7847470	2023_166829	7847470_1	1_4_1453	100
5611	intersecting or downstream	7901150	7901150	2023_5611	7901150_1	1_7_28152	100
176610	outside	7918273	7918273	2023_176610	7918273_1	NA	80
209496	outside	8007122	8007122	2023_209496	8007122_1	1_4_1490	100
39417	intersecting or downstream	8055282	8055282	2023_39417	8055282_1	1_7_20146	100
91125	intersecting or downstream	8090614	8090614	2023_91125	8090614_1	NA	10
166759	outside	8119542	8119542	2023_166759	8119542_1	NA	100
175053	intersecting or downstream	8185921	8185921	2023_175053	8185921_1	1_4_1011	100
83582	intersecting or downstream	8198894	8198894	2023_83582	8198894_1	NA	100
230708	outside	8214482	8214482	2023_230708	8214482_1	NA	100
123531	intersecting or downstream	8226774	8226774	2023_123531	8226774_1	NA	100
221123	intersecting or downstream	8239090	8239090	2023_221123	8239090_1	NA	100
40016	outside	8344990	8344990	2023_40016	8344990_1	NA	100
35616	intersecting or downstream	8372498	8372498	2023_35616	8372498_1	NA	9
209489	outside	8400338	8400338	2023_209489	8400338_1	NA	83
260295	outside	8411154	8411154	2023_260295	8411154_1	NA	100
144055	outside	8471766	8471766	2023_144055	8471766_1	NA	95
39102	intersecting or downstream	8473682	8473682	2023_39102	8473682_1	NA	100
39335	intersecting or downstream	8510962	8510962	2023_39335	8510962_1	NA	100
224810	intersecting or downstream	8556022	8556022	2023_224810	8556022_1	1_4_1387	100
39188	intersecting or downstream	8564818	8564818	2023_39188	8564818_1	NA	100
39420	intersecting or downstream	8628722	8628722	2023_39420	8628722_1	1_7_20143	100
19763	outside	8645057	8645057	2023_19763	8645057_1	1_7_157560	100
144629	intersecting or downstream	8661202	8661202	2023_144629	8661202_1	NA	25
238587	intersecting or downstream	8810770	8810770	2023_238587	8810770_1	NA	100
39348	intersecting or downstream	8859122	8859122	2023_39348	8859122_1	1_4_242	100
99528	outside	8900726	8900726	2023_99528	8900726_1	1_4_673	100
39474	intersecting or downstream	8911346	8911346	2023_39474	8911346_1	NA	100
144043	outside	9004246	9004246	2023_144043	9004246_1	NA	100
259152	intersecting or downstream	9014518	9014518	2023_259152	9014518_1	1_4_1454	68
166823	outside	9027118	9027118	2023_166823	9027118_1	NA	100
39127	intersecting or downstream	9036194	9036194	2023_39127	9036194_1	1_7_8867	100
144046	outside	9061590	9061590	2023_144046	9061590_1	1_7_209209	100
255411	intersecting or downstream	9104914	9104914	2023_255411	9104914_1	NA	100
255361	intersecting or downstream	9133586	9133586	2023_255361	9133586_1	NA	100
39283	intersecting or downstream	9146706	9146706	2023_39283	9146706_1	1_4_177	100
241541	intersecting or downstream	9177106	9177106	2023_241541	9177106_1	NA	59
144005	outside	9213142	9213142	2023_144005	9213142_1	NA	100
123784	intersecting or downstream	9257942	9257942	2023_123784	9257942_1	NA	100
143394	outside	9307382	9307382	2023_143394	9307382_1	NA	100
238528	intersecting or downstream	9406738	9406738	2023_238528	9406738_1	1_7_20571	100
19759	outside	9431489	9431489	2023_19759	9431489_1	1_7_83901	67
206663	outside	9493366	9493366	2023_206663	9493366_1	NA	100
39086	intersecting or downstream	9493906	9493906	2023_39086	9493906_1	NA	100
90109	intersecting or downstream	9542190	9542190	2023_90109	9542190_1	1_7_209738	36
212374	intersecting or downstream	9582002	9582002	2023_212374	9582002_1	1_4_347	100
213810	intersecting or downstream	9585490	9585490	2023_213810	9585490_1	1_4_52	81
218758	intersecting or downstream	9594290	9594290	2023_218758	9594290_1	NA	100
206671	outside	9595766	9595766	2023_206671	9595766_1	NA	100
226465	outside	9686290	9686290	2023_226465	9686290_1	1_4_1086	100
143993	outside	9720022	9720022	2023_143993	9720022_1	NA	87
39290	intersecting or downstream	9736530	9736530	2023_39290	9736530_1	1_4_184	100
166821	outside	9748014	9748014	2023_166821	9748014_1	NA	100
218760	intersecting or downstream	9774514	9774514	2023_218760	9774514_1	NA	100
209491	outside	9776594	9776594	2023_209491	9776594_1	1_4_1485	70
238584	intersecting or downstream	9793810	9793810	2023_238584	9793810_1	1_7_3796	100
39254	intersecting or downstream	9845074	9845074	2023_39254	9845074_1	1_4_148	100
218790	intersecting or downstream	9850290	9850290	2023_218790	9850290_1	NA	100
123506	intersecting or downstream	9855958	9855958	2023_123506	9855958_1	1_7_28750	55
5553	outside	9912253	9912253	2023_5553	9912253_1	1_4_1135	100
233093	intersecting or downstream	10046898	10046898	2023_233093	10046898_1	NA	9
259171	intersecting or downstream	10090614	10090614	2023_259171	10090614_1	1_7_37741	100
123467	intersecting or downstream	10142678	10142678	2023_123467	10142678_1	1_7_18086	100
123689	intersecting or downstream	10155254	10155254	2023_123689	10155254_1	1_4_313	100
144624	intersecting or downstream	10168530	10168530	2023_144624	10168530_1	1_4_502	100
209466	outside	10254898	10254898	2023_209466	10254898_1	1_4_1507	86
221118	intersecting or downstream	10270706	10270706	2023_221118	10270706_1	NA	100
218777	intersecting or downstream	10309042	10309042	2023_218777	10309042_1	1_4_1019	66
39045	intersecting or downstream	10316258	10316258	2023_39045	10316258_1	1_4_982	100
103415	outside	10352438	10352438	2023_103415	10352438_1	1_7_32020	71
238744	outside	10420434	10420434	2023_238744	10420434_1	NA	100
238512	intersecting or downstream	10438930	10438930	2023_238512	10438930_1	1_4_1104	100
39200	intersecting or downstream	10494034	10494034	2023_39200	10494034_1	NA	100
238518	intersecting or downstream	10635538	10635538	2023_238518	10635538_1	1_4_1109	100
80913	outside	10694870	10694870	2023_80913	10694870_1	1_4_1426	100
39276	intersecting or downstream	10758482	10758482	2023_39276	10758482_1	1_4_170	100
206681	outside	10775414	10775414	2023_206681	10775414_1	NA	100
38429	outside	10788086	10788086	2023_38429	10788086_1	NA	96
238259	intersecting or downstream	10854553	10854553	2023_238259	10854553_1	1_7_29232	84
124212	intersecting or downstream	10884982	10884982	2023_124212	10884982_1	NA	100
39120	intersecting or downstream	10887586	10887586	2023_39120	10887586_1	1_7_8874	100
39307	intersecting or downstream	10936658	10936658	2023_39307	10936658_1	1_4_201	100
39347	intersecting or downstream	10956274	10956274	2023_39347	10956274_1	NA	100
218815	intersecting or downstream	10994354	10994354	2023_218815	10994354_1	1_4_953	100
249715	outside	11085430	11085430	1_4_882	11085430_1	1_4_882	100
39352	intersecting or downstream	11087346	11087346	2023_39352	11087346_1	1_4_246	100
45969	intersecting or downstream	11092854	11092854	2023_45969	11092854_1	NA	97
233091	intersecting or downstream	11095474	11095474	2023_233091	11095474_1	NA	100
219275	outside	11194561	11194561	2023_219275	11194561_1	1_4_1366	100
218806	intersecting or downstream	11247026	11247026	2023_218806	11247026_1	NA	100
98821	outside	11272862	11272862	2023_98821	11272862_1	1_4_1126	100
70408	outside	11284014	11284014	2023_70408	11284014_1	NA	4
103400	intersecting or downstream	11339574	11339574	2023_103400	11339574_1	NA	100
39261	intersecting or downstream	11364690	11364690	2023_39261	11364690_1	1_4_155	100
39158	intersecting or downstream	11369554	11369554	2023_39158	11369554_1	NA	100
39062	intersecting or downstream	11373026	11373026	2023_39062	11373026_1	NA	100
196333	intersecting or downstream	11406774	11406774	2023_196333	11406774_1	NA	37
238758	outside	11419858	11419858	2023_238758	11419858_1	1_4_84	100
123455	intersecting or downstream	11452118	11452118	2023_123455	11452118_1	NA	100
46048	outside	11471478	11471478	2023_46048	11471478_1	1_7_54998	100
123648	intersecting or downstream	11483126	11483126	2023_123648	11483126_1	1_4_1714	49
255479	outside	11514898	11514898	2023_255479	11514898_1	NA	100
226449	outside	11537682	11537682	2023_226449	11537682_1	1_4_1070	100
39446	intersecting or downstream	11586034	11586034	2023_39446	11586034_1	NA	100
5617	intersecting or downstream	11587550	11587550	2023_5617	11587550_1	NA	51
39152	intersecting or downstream	11615314	11615314	2023_39152	11615314_1	1_7_8842	100
102597	intersecting or downstream	11781878	11781878	2023_102597	11781878_1	NA	5
99525	outside	11784310	11784310	2023_99525	11784310_1	NA	100
206668	outside	11787126	11787126	2023_206668	11787126_1	1_7_34557	22
