rank	sac_streams	grts_ranking	grts_ranking_draw	segment_id	point_code	segment_id_v1_7	prop_3260
238546	intersecting or downstream	63762	63762	1_4_783	63762_1	1_4_783	85
39410	intersecting or downstream	69106	69106	1_7_20153	69106_1	1_7_20153	100
212356	intersecting or downstream	88754	88754	2023_212356	88754_1	1_4_329	79
209501	outside	93650	93650	2023_209501	93650_1	1_4_1495	100
218832	outside	131970	131970	2023_218832	131970_1	1_4_31	100
218833	outside	26346370	131970	1_4_31	131970_2	1_4_31	100
46049	outside	264822	264822	2023_46049	264822_1	1_7_54997	46
39294	intersecting or downstream	266578	266578	1_4_188	266578_1	1_4_188	100
206742	outside	359542	359542	2023_206742	359542_1	1_7_166695	26
166731	outside	378102	378102	2023_166731	378102_1	1_4_1309	65
212347	intersecting or downstream	391346	391346	2023_212347	391346_1	1_4_320	100
113051	outside	422134	422134	2023_113051	422134_1	1_7_47415	48
39208	intersecting or downstream	426066	426066	1_7_7733	426066_1	1_7_7733	100
176607	outside	434881	434881	2023_176607	434881_1	1_4_1464	100
39314	intersecting or downstream	435538	435538	1_4_208	435538_1	1_4_208	100
206688	outside	483446	483446	1_4_1172	483446_1	1_4_1172	100
5562	outside	485342	485342	1_4_1143	485342_1	1_4_1143	100
5598	outside	526302	526302	2023_5598	526302_1	NA	100
213945	intersecting or downstream	559698	559698	2023_213945	559698_1	1_4_674	10
39118	intersecting or downstream	655778	655778	1_7_8876	655778_1	1_7_8876	100
238643	intersecting or downstream	678674	678674	2023_238643	678674_1	1_4_899	100
39064	intersecting or downstream	690658	690658	1_7_8910	690658_1	1_7_8910	100
39077	intersecting or downstream	707042	707042	2023_39077	707042_1	NA	100
5591	outside	722910	722910	2023_5591	722910_1	NA	100
259139	intersecting or downstream	756982	756982	2023_259139	756982_1	1_4_851	4
238538	intersecting or downstream	784658	784658	2023_238538	784658_1	1_4_102	100
39297	intersecting or downstream	790866	790866	1_4_191	790866_1	1_4_191	100
39220	intersecting or downstream	819282	819282	1_4_114	819282_1	1_4_114	100
218778	intersecting or downstream	871858	871858	2023_218778	871858_1	NA	34
213783	intersecting or downstream	923730	923730	2023_213783	923730_1	NA	100
238593	intersecting or downstream	946450	946450	2023_238593	946450_1	1_4_95	100
216087	intersecting or downstream	947026	947026	1_4_516	947026_1	1_4_516	100
104303	outside	952670	952670	1_4_1515	952670_1	1_4_1515	55
206705	outside	1006710	1006710	1_4_1189	1006710_1	1_4_1189	100
238527	intersecting or downstream	1018130	1018130	1_4_1117	1018130_1	1_4_1117	100
255443	outside	1040402	1040402	2023_255443	1040402_1	1_7_140445	19
98889	intersecting or downstream	1047854	1047854	2023_98889	1047854_2	NA	84
111616	intersecting or downstream	1047854	1047854	1_4_1088	1047854_1	1_4_1088	92
39488	intersecting or downstream	1135858	1135858	1_4_1811	1135858_1	1_4_1811	100
209502	outside	9530834	1142226	2023_209502	1142226_2	1_4_1497	100
209503	outside	1142226	1142226	2023_209503	1142226_1	1_4_1497	100
175059	intersecting or downstream	1153089	1153089	1_7_121104	1153089_1	1_7_121104	100
39139	intersecting or downstream	1237410	1237410	1_7_8855	1237410_1	1_7_8855	100
255363	intersecting or downstream	1269266	1269266	2023_255363	1269266_1	1_4_422	4
39475	intersecting or downstream	1309170	1309170	1_4_1824	1309170_1	1_4_1824	100
33364	outside	1354614	1354614	2023_33364	1354614_1	1_7_166720	100
206682	outside	1370998	1370998	1_4_1166	1370998_1	1_4_1166	100
46041	outside	1444470	1444470	1_7_55005	1444470_1	1_7_55005	100
39313	intersecting or downstream	1484114	1484114	1_4_207	1484114_1	1_4_207	100
206660	outside	26663798	1497974	1_4_565	1497974_2	1_4_565	100
206662	outside	1497974	1497974	2023_206662	1497974_1	1_4_565	100
206654	outside	1530742	1530742	2023_206654	1530742_1	NA	100
123596	intersecting or downstream	1549302	1549302	2023_123596	1549302_1	1_7_23080	74
255481	outside	1553426	1553426	2023_255481	1553426_1	NA	35
143992	outside	1593558	1593558	2023_143992	1593558_1	NA	100
206714	outside	1596534	1596534	1_4_1198	1596534_1	1_4_1198	100
209511	outside	1618386	1618386	1_4_593	1618386_1	1_4_593	72
197911	intersecting or downstream	1685846	1685846	2023_197911	1685846_1	NA	57
238747	outside	1704146	1704146	2023_238747	1704146_1	1_4_73	100
166760	outside	1762550	1762550	2023_166760	1762550_1	1_4_1320	100
