sampling_unit_code	polygon_id	type	grts_ranking	grts_ranking_draw	source	area_class	sac
WVLKNO0003	WVLKNO0003	21	29056565	151997	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0280	WVLKNO0280	21	29179189	152982	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0020	WVLKNO0020	21	29363765	154449	original sample frame/assessments monitoring cycle 1	1	1
WVLDEP0073	WVLDEP0073	21	51205297	157187	original sample frame/assessments monitoring cycle 1	1	1
WVLDEP0058	WVLDEP0058	21	29725873	157334	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0039	WVLKNO0039	21	29949237	159077	original sample frame/assessments monitoring cycle 1	1	1
WVLNWP0001	WVLNWP0001	21	30312241	161931	original sample frame	1	1
WVLDEP0012	WVLDEP0012	21	3039409	162542	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0272	WVLKNO0272	21	30489909	163307	original sample frame	1	1
WVLKOK0065	WVLKOK0065	21	31258801	169296	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0276	WVLKNO0276	21	31259957	169304	original sample frame	1	1
WVLDEH0013	WVLDEH0013	21	31560705	171658	original sample frame	1	1
WVLKNO0049	WVLKNO0049	21	33078581	183819	original sample frame	1	1
WVLDEH0241	WVLDEH0241	21	33395713	186396	original sample frame	1	1
WVLMID0123	WVLMID0123	21	33783409	189510	original sample frame	1	1
WVLKNO0033	WVLKNO0033	21	34815285	197704	original sample frame	1	1
WVLMID0117	WVLMID0117	21	34818673	197729	original sample frame	1	1
WVLDEP0111	WVLDEP0111	21	35005617	199251	original sample frame	1	1
WVLMID0075	WVLMID0075	21	35480945	203046	original sample frame/assessments monitoring cycle 1	1	1
WVLKNO0004	WVLKNO0004	21	35732789	205089	original sample frame	1	1
WVLDEP0054	WVLDEP0054	21	36299953	209658	original sample frame	1	1
WVLKNO0374	WVLKNO0374	21	36404533	210481	original sample frame	1	1
WVLKNO0309	WVLKNO0309	21	36580661	211872	original sample frame	1	1
WVLDEP0028	WVLDEP0028	21	36886705	214301	original sample frame	1	1
WVLDEP0015	WVLDEP0015	21	37249201	217164	original sample frame	1	1
WVLKOK0068	WVLKOK0068	21	37484721	219062	original sample frame	1	1
WVLKNO0009	WVLKNO0009	21	37584181	219817	original sample frame	1	1
WVLBRU0368	WVLBRU0368	21	37739189	221035	original sample frame/assessments monitoring cycle 1	2	1
WVLMID0212	WVLMID0212	21	37923633	222534	original sample frame	1	1
WVLKOK0053	WVLKOK0053	21	38072113	223740	original sample frame	1	1
WVLKOK0089	WVLKOK0089	21	39796529	237485	original sample frame	1	1
WVLKNO0054	WVLKNO0054	21	39943477	238662	original sample frame	1	1
WVLMID0205	WVLMID0205	21	64323185	238665	original sample frame	1	1
WVLDEP0103	WVLDEP0103	21	40293553	241430	original sample frame	1	1
WVLKNO0032	WVLKNO0032	21	40434997	242548	original sample frame	1	1
WVLKNO0059	WVLKNO0059	21	40434997	242548	original sample frame	1	1
WVLKNO0027	WVLKNO0027	21	40452149	242676	original sample frame	1	1
WVLKNO0311	WVLKNO0311	21	40582453	243734	original sample frame	1	1
WVLKOK0111	WVLKOK0111	21	40800049	245493	original sample frame	1	1
WVLDEP0102	WVLDEP0102	21	42357937	251059	original sample frame	1	1
WVLKOK0172	WVLKOK0172	21	41711793	252845	original sample frame	2	1
WVLMID0210	WVLMID0210	21	42117937	256032	original sample frame	1	1
WVLKNO0292	WVLKNO0292	21	42663221	260381	original sample frame	1	1
WVLDEP0019	WVLDEP0019	21	42856625	261828	original sample frame	1	1
WVLKNO0177	WVLKNO0177	21	43208757	264607	original sample frame	1	1
WVLDEP0042	WVLDEP0042	21	4347057	266761	original sample frame	1	1
WVLDEP0060	WVLDEP0060	21	4380849	269360	original sample frame	1	1
WVLKOK0124	WVLKOK0124	21	43859761	269819	original sample frame	1	1
WVLDEP0049	WVLDEP0049	21	43918513	270255	original sample frame	1	1
WVLKNO0171	WVLKNO0171	21	44449845	274576	original sample frame	1	1
WVLDEP0121	WVLDEP0121	21	45408433	282117	original sample frame	1	1
WVLKNO0045	WVLKNO0045	21	45972789	286579	original sample frame	1	1
WVLKNO0066	WVLKNO0066	21	4603189	287045	original sample frame	1	1
WVLDEP0101	WVLDEP0101	21	4609201	287514	original sample frame	1	1
WVLKNO0264	WVLKNO0264	21	46140981	287910	original sample frame	1	1
WVLNWP0043	WVLNWP0043	21	46561073	291229	original sample frame	1	1
WVLKNO0041	WVLKNO0041	21	46595381	291495	original sample frame	1	1
WVLKNO0012	WVLKNO0012	21	46787893	293017	original sample frame	1	1
WVLKNO0277	WVLKNO0277	21	47004981	294720	original sample frame	1	1
WVLKNO0278	WVLKNO0278	21	47004981	294720	original sample frame	1	1
WVLDEP0062	WVLDEP0062	21	47027377	294864	original sample frame	1	1
WVLKOK0019	WVLKOK0019	21	47312689	297109	original sample frame	1	1
WVLKNO0014	WVLKNO0014	21	47451701	298167	original sample frame/assessments monitoring cycle 1	1	1
WVLDEP0130	WVLDEP0130	21	4761777	299499	original sample frame	1	1
WVLKNO0015	WVLKNO0015	21	4767029	299914	original sample frame	1	1
WVLKOK0141	WVLKOK0141	21	48115505	303327	original sample frame	1	1
WVLNWP0039	WVLNWP0039	21	48133937	303507	original sample frame	1	1
WVLDEP0001	WVLDEP0001	21	48292017	304763	original sample frame	1	1
WVLKNO0270	WVLKNO0270	21	48315701	304953	original sample frame	1	1
WVLKNO0364	WVLKNO0364	21	48463157	306139	original sample frame	1	1
WVLDEP0098	WVLDEP0098	21	48484529	306293	original sample frame	1	1
WVLKNO0021	WVLKNO0021	21	48856373	309302	original sample frame	1	1
WVLKNO0023	WVLKNO0023	21	49491253	314391	original sample frame	1	1
WVLDEP0106	WVLDEP0106	21	50156721	319798	original sample frame	1	1
WVLKNO0048	WVLKNO0048	21	50298165	320935	original sample frame	1	1
WVLDEP0099	WVLDEP0099	21	50319537	321100	original sample frame	1	1
WVLDEP0166	WVLDEP0166	21	46573745	322692	original sample frame	1	1
WVLKNO0268	WVLKNO0268	21	50543925	322914	original sample frame	1	1
WVLDEP0068	WVLDEP0068	21	50746545	324501	original sample frame	1	1
WVLDEP0118	WVLDEP0118	21	50913457	325812	original sample frame	1	1
WVLMID0209	WVLMID0209	21	51555121	330910	original sample frame	1	1
WVLDEP0037	WVLDEP0037	21	51713201	332180	original sample frame	1	1
WVLKNO0269	WVLKNO0269	21	52641077	339583	original sample frame	1	1
WVLKNO0363	WVLKNO0363	21	54246709	352326	original sample frame	1	1
WVLKNO0281	WVLKNO0281	21	54345013	353094	original sample frame	1	1
WVLNWP0094	WVLNWP0094	21	54429489	353721	original sample frame	1	1
WVLDEP0053	WVLDEP0053	21	54792369	356647	original sample frame	1	1
WVLNWP0016	WVLNWP0016	21	54802225	356729	original sample frame	1	1
WVLBRU0791	WVLBRU0791	21	55073461	358927	original sample frame	1	1
WVLKNO0006	WVLKNO0006	21	55262517	360428	original sample frame	1	1
WVLKOK0129	WVLKOK0129	21	56012593	366377	original sample frame	1	1
WVLKNO0037	WVLKNO0037	21	56048949	366654	original sample frame	1	1
WVLKNO0195	WVLKNO0195	21	56049717	366662	original sample frame	1	1
WVLKOK0132	WVLKOK0132	21	11353905	369802	original sample frame	1	1
WVLDEH0018	WVLDEH0018	21	56477809	370064	original sample frame	1	1
WVLKOK0116	WVLKOK0116	21	56490161	370171	original sample frame	1	1
WVLNWP0046	WVLNWP0046	21	56522545	370426	original sample frame	1	1
WVLDEP0032	WVLDEP0032	21	57496753	378224	original sample frame	1	1
WVLKNO0246	WVLKNO0246	21	57626677	379289	original sample frame	1	1
WVLKNO0307	WVLKNO0307	21	58518837	386426	original sample frame	1	1
WVLKNO0308	WVLKNO0308	21	8269109	387059	original sample frame	1	1
WVLMID0211	WVLMID0211	21	58895153	389408	original sample frame	1	1
WVLDEP0014	WVLDEP0014	21	59633841	395278	original sample frame	1	1
WVLKNO0034	WVLKNO0034	21	59817269	396656	original sample frame	1	1
WVLDEH0025	WVLDEH0025	21	59872257	397073	original sample frame	1	1
WVLKNO0126	WVLKNO0126	21	60037173	398366	original sample frame	1	0
WVLKOK0029	WVLKOK0029	21	60094641	398827	original sample frame	1	1
WVLKNO0055	WVLKNO0055	21	60128565	399121	original sample frame	1	1
WVLKOK0063	WVLKOK0063	21	6057777	402715	original sample frame	1	1
WVLKOK0014	WVLKOK0014	21	60586161	402780	original sample frame	1	1
WVLDEH0029	WVLDEH0029	21	60920833	405484	original sample frame	1	1
WVLKNO0018	WVLKNO0018	21	6110517	406923	original sample frame	1	1
WVLKNO0279	WVLKNO0279	21	6110517	406923	original sample frame	1	1
WVLKNO0008	WVLKNO0008	21	61353269	408855	original sample frame	1	1
WVLDEP0096	WVLDEP0096	21	6156465	410504	original sample frame	1	1
WVLDEP0036	WVLDEP0036	21	61707441	411676	original sample frame	1	1
WVLNWP0041	WVLNWP0041	21	61749041	412000	original sample frame	1	1
WVLKOK0007	WVLKOK0007	21	62228657	415784	original sample frame	1	1
WVLDEH0031	WVLDEH0031	21	62231553	415804	original sample frame	1	1
WVLKNO0182	WVLKNO0182	21	62996533	421913	original sample frame	1	1
WVLKNO0001	WVLKNO0001	21	63061301	422440	original sample frame	1	1
WVLBRU0795	WVLBRU0795	21	63167157	423303	original sample frame	1	1
WVLKNO0285	WVLKNO0285	21	21560629	425930	original sample frame	1	1
WVLKNO0043	WVLKNO0043	21	63634741	426980	original sample frame	1	1
WVLDEH0339	WVLDEH0339	21	63636917	426995	original sample frame	1	1
WVLNWP0029	WVLNWP0029	21	63862577	428720	original sample frame	1	1
WVLKNO0273	WVLKNO0273	21	64044341	430139	original sample frame	1	1
WVLMID0208	WVLMID0208	21	64138033	430881	original sample frame	1	1
WVLKNO0052	WVLKNO0052	21	64175413	431162	original sample frame	1	1
WVLKNO0044	WVLKNO0044	21	64224565	431559	original sample frame	1	1
WVLKOK0078	WVLKOK0078	21	64253745	431784	original sample frame	1	1
WVLDEP0056	WVLDEP0056	21	6444209	433280	original sample frame	1	1
WVLBRU0369	WVLBRU0369	21	65133237	438699	original sample frame/assessments monitoring cycle 1	2	1
WVLBRD0028	WVLBRD0028	21	65349745	440401	original sample frame	1	1
WVLDEP0045	WVLDEP0045	21	65950897	445191	original sample frame	1	1
WVLKNO0024	WVLKNO0024	21	66026805	445779	original sample frame	1	1
WVLBRD0078	WVLBRD0078	21	67697	454946	original sample frame	1	1
WVLKNO0010	WVLKNO0010	21	7601461	461654	original sample frame	1	1
WVLDEH0007	WVLDEH0007	21	8125877	465816	original sample frame	1	1
WVLKNO0274	WVLKNO0274	21	8191285	466304	original sample frame	1	1
WVLKNO0282	WVLKNO0282	21	8207669	466442	original sample frame	1	1
WVLMID0219	WVLMID0219	21	52644465	469568	original sample frame	1	1
WVLBRD0088	WVLBRD0088	21	862321	469723	original sample frame	1	1
WVLKOK0130	WVLKOK0130	21	8841393	471517	original sample frame	1	1
WVLNWP0023	WVLNWP0023	21	9336625	475466	original sample frame	1	1
WVLKNO0286	WVLKNO0286	21	539957	539957	watersurfaces_hab_v5	1	1
WVLKNO0373	WVLKNO0373	21	1801525	1801525	watersurfaces_hab_v5	1	1
WVLDEP0169	WVLDEP0169	21	1975473	1975473	watersurfaces_hab_v5	1	1
WVLBRD0123	WVLBRD0123	21	2959473	2959473	watersurfaces_hab_v5	1	1
WVLKNO0403	WVLKNO0403	21	3681589	3681589	watersurfaces_hab_v5	1	0
WVLKNO0460	WVLKNO0460	21	3816757	3816757	watersurfaces_hab_v5	1	1
WVLKNO0445	WVLKNO0445	21	4931637	4931637	watersurfaces_hab_v5	1	1
WVLKNO0291	WVLKNO0291	21	5718069	5718069	watersurfaces_hab_v5	1	1
WVLKNO0457	WVLKNO0457	21	5913909	5913909	watersurfaces_hab_v5	1	1
WVLKNO0389	WVLKNO0389	21	7142709	7142709	watersurfaces_hab_v5	1	1
WVLNWP0092	WVLNWP0092	21	7943985	7943985	watersurfaces_hab_v5	1	1
WVLMID0150	WVLMID0150	21	9594673	9594673	watersurfaces_hab_v5	1	1
WVLDEP0117	WVLDEP0117	21	10018993	10018993	watersurfaces_hab_v5	1	1
WVLKOK0154	WVLKOK0154	21	10026801	10026801	watersurfaces_hab_v5	1	1
WVLDEP0146	WVLDEP0146	21	10342577	10342577	watersurfaces_hab_v5	1	1
WVLKNO0386	WVLKNO0386	21	10845493	10845493	watersurfaces_hab_v5	1	1
WVLDEP0110	WVLDEP0110	21	11080881	11080881	watersurfaces_hab_v5	1	1
WVLKOK0127	WVLKOK0127	21	12384433	12384433	watersurfaces_hab_v5	1	1
WVLNWP0093	WVLNWP0093	21	12486449	12486449	watersurfaces_hab_v5	1	1
WVLMID0278	WVLMID0278	21	13060721	13060721	watersurfaces_hab_v5	1	1
WVLKOK0191	WVLKOK0191	21	14167857	14167857	watersurfaces_hab_v5	1	1
WVLKOK0157	WVLKOK0157	21	14266161	14266161	watersurfaces_hab_v5	1	1
WVLKOK0142	WVLKOK0142	21	15380273	15380273	watersurfaces_hab_v5	1	1
WVLDEP0136	WVLDEP0136	21	15444145	15444145	watersurfaces_hab_v5	1	1
WVLDEP0138	WVLDEP0138	21	15995057	15995057	watersurfaces_hab_v5	1	1
WVLDEP0168	WVLDEP0168	21	16655537	16655537	watersurfaces_hab_v5	1	1
WVLBRD0118	WVLBRD0118	21	17426545	17426545	watersurfaces_hab_v5	1	1
WVLBRD0124	WVLBRD0124	21	17639537	17639537	watersurfaces_hab_v5	1	1
WVLKOK0233	WVLKOK0233	21	18249905	18249905	watersurfaces_hab_v5	1	1
WVLKNO0443	WVLKNO0443	21	18382133	18382133	watersurfaces_hab_v5	1	1
WVLKNO0240	WVLKNO0240	21	19349557	19349557	watersurfaces_hab_v5	1	1
WVLKNO0419	WVLKNO0419	21	19365173	19365173	watersurfaces_hab_v5	1	1
WVLDEH0383	WVLDEH0383	21	19662261	19662261	watersurfaces_hab_v5	1	1
WVLKNO0256	WVLKNO0256	21	19873845	19873845	watersurfaces_hab_v5	1	1
WVLNWP0091	WVLNWP0091	21	20002609	20002609	watersurfaces_hab_v5	1	1
WVLBRD0108	WVLBRD0108	21	20117617	20117617	watersurfaces_hab_v5	1	0
WVLDEH0353	WVLDEH0353	21	20288513	20288513	watersurfaces_hab_v5	1	1
WVLKNO0221	WVLKNO0221	21	20971573	20971573	watersurfaces_hab_v5	1	1
WVLKOK0131	WVLKOK0131	21	22347569	22347569	watersurfaces_hab_v5	1	1
WVLDEP0100	WVLDEP0100	21	22910129	22910129	watersurfaces_hab_v5	1	1
WVLKOK0193	WVLKOK0193	21	24260401	24260401	watersurfaces_hab_v5	1	1
WVLDEP0109	WVLDEP0109	21	26809521	26809521	watersurfaces_hab_v5	1	1
WVLDEP0173	WVLDEP0173	21	27600049	27600049	watersurfaces_hab_v5	1	1
WVLKNO0418	WVLKNO0418	21	27753781	27753781	watersurfaces_hab_v5	1	1
WVLDEP0151	WVLDEP0151	21	29909169	29909169	watersurfaces_hab_v5	1	1
WVLMID0281	WVLMID0281	21	30624369	30624369	watersurfaces_hab_v5	1	1
WVLDEP0157	WVLDEP0157	21	30695601	30695601	watersurfaces_hab_v5	1	1
WVLDEP0158	WVLDEP0158	21	30695601	30695601	watersurfaces_hab_v5	1	1
WVLKNO0376	WVLKNO0376	21	30768437	30768437	watersurfaces_hab_v5	1	1
WVLDEP0133	WVLDEP0133	21	30779569	30779569	watersurfaces_hab_v5	1	1
WVLKOK0143	WVLKOK0143	21	32354097	32354097	watersurfaces_hab_v5	1	1
WVLKNO0174	WVLKNO0174	21	32456757	32456757	watersurfaces_hab_v5	1	1
WVLKNO0411	WVLKNO0411	21	33635637	33635637	watersurfaces_hab_v5	1	1
