polygon_id	grts_ranking	in_object	x	y
103333_v2014	46111745	1	56603.38	211609.77
103414_v2016	44138561	1	78200.61	197324.71
108061_v2014	60089397	1	75188.86	220334.36
129863_v2016	26435761	1	25234.51	196291.69
130428_v2023	54642345	1	120481.62	190621.96
154004_v2023	7964329	1	121243.54	191627.14
154059_v2023	61740713	1	121398.31	192128.25
158036_v2023	16006649	1	128611.62	177232.92
172689_v2020	29418665	1	130417.93	192388.36
177794_v2023	32153481	1	119273.44	190220.27
301324_v2016	20242386	1	234712.75	195876.8
305360_v2016	30412854	1	196319.39	192521.52
312330_v2016	44992210	1	225547.97	188930.52
314405_v2016	45450962	1	225164.91	189035.06
354551_v2023	58828086	1	193342.19	189465.82
355903_v2023	35598470	1	179250.36	184838.18
357138_v2020	63448150	1	183971.5	194531.74
358977_v2020	63696070	1	162511.65	179557.18
364675_v2023	21753030	1	162491.48	179590.11
376035_v2023	54633782	1	193345.88	189522.23
377669_v2020	1165618	1	224874.19	185287.48
378732_v2023	50454226	1	223665.11	190485.23
378734_v2023	46259922	1	223700.68	190502.86
380123_v2020	5687282	1	238606.49	179677.13
380997_v2023	55366326	1	213975.21	187849.41
386665_v2023	55937334	1	191330.34	192243.61
387431_v2023	65690790	1	200308.59	185680.46
398739_v2023	49630902	1	216448.39	185885.58
401208_v2020	43655401	1	146601.34	195964.01
403930_v2020	2623622	1	184851.33	179542.8
405560_v2020	47484838	1	186147.01	180080.28
405882_v2023	19820886	1	185012.93	190637.85
405903_v2023	52851030	1	185180.41	190588.74
407006_v2023	16234706	1	219491.06	198187.42
409045_v2023	64065446	1	186201.61	180299
409689_v2020	56267058	1	221309.23	184620.3
413007_v2020	38695254	1	184875.27	190683.13
413019_v2020	1208662	1	184976.61	190792.68
413190_v2020	1765718	1	184646.03	190866.36
413904_v2023	22788306	1	219419.53	198409.46
416016_v2020	20641926	1	185049.17	180631.38
417278_v2020	26671410	1	223131	184819.36
418405_v2023	34705318	1	186176.44	180258.23
418817_v2023	46239654	1	186256.21	180190.51
420174_v2023	46786866	1	226230.35	183345.48
420329_v2023	8121542	1	162464.46	179510.33
421251_v2020	42063058	1	220157.63	198027.88
421540_v2020	63525814	1	215748.6	198190.65
424241_v2020	40688626	1	240412.36	180296.36
424248_v2020	42359794	1	240370.7	180753.66
424263_v2020	6953970	1	239940.04	180898.27
424443_v2020	30481394	1	239164.55	181342.36
424493_v2020	19904498	1	239002.78	181292.86
425032_v2020	16252914	1	239389.39	181845.47
425033_v2020	62914546	1	239307.74	181874.86
425382_v2020	25723990	1	183799.96	194612.27
425385_v2020	18359382	1	183821.85	194575.89
425611_v2020	36999078	1	186263.19	180184.13
426190_v2020	3864710	1	185072.44	180621.3
426196_v2020	9211814	1	186088.68	180159.13
426548_v2020	56908082	1	224262.86	182518.68
426611_v2023	6435282	1	232707.63	187809.13
426733_v2020	53591346	1	223570.2	181723.56
426880_v2020	47868210	1	225462.51	182123.79
427397_v2020	62318898	1	225875.77	182982.82
427594_v2020	16443698	1	226147.23	183127.1
427605_v2020	10152242	1	226253.04	183256.29
427747_v2020	40627398	1	162406.76	179487.87
429630_v2023	5218281	1	151400.05	194012.09
429666_v2023	50306281	1	152026.01	194137.64
429667_v2023	35626217	1	151886.78	194205.32
434910_v2016	29179573	1	69430.64	221372.95
435041_v2023	5059026	1	232251.99	187452.46
435837_v2016	65617589	1	69369.99	221358.77
436088_v2018	21776181	1	81069.48	219723.72
436089_v2018	21514037	1	81076.12	220009.72
436090_v2018	13059893	1	80870.06	220348.38
440490_v2023	23805490	1	229322.5	178776.22
440528_v2023	17456690	1	228717.04	178740.7
440554_v2023	65306162	1	228889.58	178625.45
440629_v2016	53493429	1	69813.13	220970.21
440650_v2016	3046837	1	60814.06	222089.69
440871_v2016	61922997	1	69615.36	219709.01
441059_v2016	61489065	1	124797.29	199037
441193_v2016	44044981	1	63038.56	220247.14
441250_v2016	62509749	1	63701.92	219541.04
443618_v2016	1575689	1	107623.07	214844.63
443652_v2016	15341641	1	101257.78	217169.95
444320_v2016	39687785	1	129001.77	214954.27
444763_v2016	58736309	1	69703.45	221010.6
445336_v2016	1456905	1	107460.05	216629.67
445498_v2016	35905205	1	69809.8	220252.84
445585_v2016	20983861	1	78365.08	223192.89
446784_v2018	22841141	1	80771.04	219349.08
446785_v2018	30164789	1	81140.77	219615.24
446799_v2018	14097521	1	50284.32	211548.88
451336_v2016	6622901	1	69121.26	220912.76
451780_v2016	28524213	1	69143.42	221001.39
451806_v2016	46809001	1	124940.28	199012.26
451873_v2016	22867825	1	50196.95	209785.29
453116_v2014	21901365	1	79142.74	223630.7
454362_v2014	17198761	1	127910.68	192651.89
455189_v2016	8928949	1	69664.82	220721.49
455217_v2016	51222601	1	100823.61	217217.74
455267_v2016	61685429	1	69627.6	221360.22
455708_v2016	24657833	1	124956.17	199071.39
455716_v2016	10436277	1	69524.57	220936.62
455735_v2016	56644277	1	64137.38	219324.25
455989_v2016	3751605	1	69240.23	221210.15
456029_v2016	16535221	1	68634.79	221683.4
456561_v2016	50065077	1	68704.36	220569.33
456591_v2016	48981685	1	67162	224230.01
456605_v2016	54292149	1	68762.13	219470.88
456665_v2016	46536989	1	101309.25	219276.15
456724_v2016	5312181	1	68713.72	220671.25
456727_v2016	3358389	1	69206.77	220991.22
457279_v2016	18890421	1	69786.86	221023.5
457440_v2016	7159477	1	69635.14	221291.98
457790_v2016	61685429	1	69642.64	221360.53
463151_v2018	39428882	1	223768.3	205669.49
472645_v2016	39490229	1	64681.41	220354.51
473433_v2016	16596661	1	69456.44	221349.4
473469_v2016	52329909	1	60803.66	222108.85
473702_v2016	36601269	1	60850.02	222064.4
473982_v2016	30839477	1	64572.89	220484.74
474033_v2016	61685429	1	69615.1	221351.96
474143_v2016	15548085	1	69561	221334.29
474146_v2016	3046837	1	60843.87	222088.64
474269_v2016	540341	1	69698.55	220695.39
475652_v2023	34266805	1	69814.43	219620.65
475684_v2023	16417905	1	51151.02	214105.49
481511_v2018	47940801	1	87323.4	204964.95
491369_v2023	60763137	1	57594.02	210830.34
491463_v2023	18820097	1	57567.76	210906.7
492191_v2018	39623798	1	206702.42	212339.82
493047_v2018	55519790	1	195016.29	223576.61
493872_v2018	9251777	1	73139.26	205548.25
494789_v2020	35509609	1	124279.81	214215.18
497070_v2020	24686645	1	79312.61	224450.06
497100_v2020	3873845	1	76964.94	221458.87
497105_v2020	2124853	1	78882.99	219252.56
502070_v2020	61134441	1	129572.79	215072.48
505100_v2023	7562689	1	74486.65	215453.31
505686_v2020	43464477	1	95445.26	218787.34
506119_v2020	41989121	1	57727.3	215961.26
506449_v2023	58559241	1	106550.22	214497.23
506457_v2023	14462005	1	78785.35	220200.78
506461_v2023	NA	1	84112.37	216272.27
506462_v2023	56445633	1	83948.1	216610.89
506463_v2023	22629057	1	83686.89	216788.36
506465_v2023	61021889	1	81989.42	217745.47
506474_v2023	64067381	1	80098.36	221141.62
506479_v2023	56918069	1	79085.92	224859.4
506483_v2023	28370741	1	81489.51	218652.97
506501_v2023	65248369	1	49721.68	210898.54
506504_v2023	5270581	1	79082.65	219356.37
506516_v2023	2268213	1	75750.49	221179.34
506642_v2020	8164969	1	129535.59	214527.79
507078_v2023	10738441	1	105092.78	218066.05
507079_v2023	61172489	1	104462.29	215688.97
507086_v2023	37578177	1	75276.33	215162.93
509521_v2018	53430034	1	222075.08	202666.51
510156_v2018	44998774	1	206305.02	212158.29
510206_v2018	31055990	1	204845.09	211315.6
511056_v2018	66788078	1	202321.87	224200.83
511331_v2018	25532974	1	195382.68	225575.66
511988_v2018	16586409	1	122084.64	192270.91
511989_v2018	20780713	1	122027.81	192315.38
511990_v2018	27072169	1	121987.73	192347.33
511991_v2018	857769	1	122051.38	192393.15
512627_v2023	33027185	1	53015.59	211339.93
512759_v2018	46263733	1	61921.76	220753.98
512779_v2018	13693621	1	64008.66	221181.94
513023_v2018	44520169	1	143982.17	200642.65
513281_v2023	21272169	1	129076.55	214995.43
513414_v2023	12402357	1	69400.51	221384.93
513429_v2023	65617589	1	69384.4	221373.61
513679_v2023	64156785	1	53733.34	210960.8
513902_v2023	50999349	1	79040.95	223639.78
513912_v2023	39776769	1	69889.28	217414.08
513985_v2023	30667445	1	63372.99	221224.21
514137_v2023	25913013	1	67113.18	224367.7
514229_v2023	59981493	1	69214.36	221139.98
514267_v2023	62338161	1	53586.97	211584.61
514268_v2023	61617265	1	53237.61	211454.71
514550_v2023	36323241	1	124753.89	199134.08
514693_v2023	2911925	1	68870.96	219546.12
514713_v2023	4210357	1	69753.65	221003.51
514736_v2023	59452417	1	57767.01	210785.93
514743_v2023	25879665	1	51821.6	210644.12
514888_v2018	58882450	1	244862.65	206294.97
514922_v2018	49414546	1	245009.84	206498.83
514923_v2018	32637330	1	245052.16	206495.76
515133_v2018	46780406	1	188057.71	218064.42
516172_v2023	35077057	1	73481.78	205469.04
516180_v2023	5057473	1	73190.12	205622.8
516523_v2023	62972993	1	76329.69	198779.09
516758_v2023	41020853	1	61938.23	220802.83
516790_v2023	62616245	1	64055.94	221192.19
517059_v2018	11792617	1	146613.64	196097.28
517156_v2023	7279681	1	75850.74	200470.21
517157_v2023	61805633	1	75838.52	200502.96
