code_watersurfaces	grts_ranking	in_object	x	y
ANTMAL0136	2258078	1	174382.292404982	224000.530672128
446812_v2018	2268213	1	75750.4856131718	221179.341800001
WVLBRU0812	2309813	1	69379.4571526624	221143.14865
544450_v2016	2333486	1	195091.94305081	228218.7601
OVLSTK0268	2397801	1	129193.90010974	214921.35095
LIMMSK0035	2406994	1	237035.014398312	192698.79775
ANTESS0062	2462430	1	155811.49379445	234599.8339
ANTOTH0306	2468398	1	195494.092347748	224212.853806044
LIMZNH0563	2492114	1	224834.64658104	188664.15125
WVLBRU0732	2506421	1	69738.6203032571	221396.7543
LIMHVL0463	2510518	1	216081.437835317	186416.652799999
LIMGNK0375	2537778	0	224024.01350332	185166.22155
VBRSZI0277	2581814	1	192653.762703758	189578.824575296
ANTRET0083	2604278	1	198572.291647686	214989.725299999
ANTKAL0469	2605790	1	153679.367359311	234003.5843
ANTKAS0033	2606838	1	186124.59784013	210374.85125
LIMHHE0312	2612946	1	223456.56417837	190244.414
LIMMSK0031	2623314	1	239873.063072528	196019.004249999
403930_v2020	2623622	1	184851.333875366	179542.80415
LIMOPG0096	2669138	1	236799.705475	192851.386
WVLZED0331	2703105	1	61437.9515518064	204328.07395
LIMMSM0197	2715218	1	237157.59002683	185965.013787357
OVLBLE0195	2762409	1	123905.037249332	191063.7674
LIMHHE0243	2777810	1	222522.9689173	189930.26705
WVLODB0115	2792449	1	56664.582703104	212053.199100001
LIMZNH0140	2793142	1	217436.403596777	186472.193599999
WVLOOS0034	2813041	1	48342.158382134	210717.858100001
LIMHHE0375	2814902	0	218369.162636602	198198.917442417
LIMBIL0336	2840370	1	232519.90977287	177545.35535
ANTBRM0331	2872041	1	143691.12301575	200368.85495
WVLDAM0197	2882613	1	76147.853901703	220465.8062
VBRDIE0443	2896950	0	197179.221275051	189844.536637756
ANTESS0225	2900702	1	154578.015028878	234753.041018773
WVLKNO0119	2905781	1	70674.3901092547	224976.165100001
ANTBAL0379	2910070	1	207189.936281076	204819.8324
480175_v2018	2911925	1	68870.9603199098	219546.12145
LIMLOM0239	2918674	1	222967.28200513	217474.5082
WVLZUI0019	2936245	1	61709.6370336994	219777.8221
ANTBCT0319	2955486	1	162950.085784131	225576.444850001
ANTBCT0529	2955486	1	162936.328279061	225592.5864
WVLBRD0123	2959473	1	54248.6636002672	216150.4837
WVLZED0330	2965249	1	61194.6203595228	204629.188550001
WVLDEP0074	2970801	1	22783.9635849209	199000.4221
LIMHAS0292	2975462	1	216019.056824804	180659.6437
ANTBCT0019	2977246	1	165119.014313113	226809.83595
OVLSTK0299	2987625	1	128973.518789154	214802.12125
WVLDEP0012	3039409	1	25613.9233289578	196976.96225
440650_v2016	3046837	1	60814.059257098	222089.693600001
474146_v2016	3046837	1	60843.8737775805	222088.6351
WVLHAR0110	3078817	1	75857.0191090917	170420.243649999
LIMNEE0147	3098898	1	223881.95810862	218098.12195
ANTBAL0415	3106678	1	207287.557751484	204715.238599999
WVLDEH0113	3109889	1	57170.1583481623	215449.5726
ANTANT0234	3113917	1	146571.239015964	225076.8289
ANTBRM0225	3134185	1	143393.09471822	200637.6696
ANTGEE0861	3200758	1	189051.70135821	209732.42685
ANTGEE0937	3200758	1	189067.652593909	209737.285150001
LIMLNK0237	3234802	1	240957.3090416	181348.8888
WVLGIS0030	3239793	1	49372.2033951951	208617.611500001
ANTKAS0201	3248118	1	189112.89971743	216644.3326
ANTWIL0176	3317737	1	151566.056551734	193854.582250001
LIMHAS0108	3319526	1	216141.178686263	180739.891150001
LIMHAS0750	3319526	1	216111.979275807	180756.12885
LIMLNK0119	3349490	1	239256.48285614	180939.7109
ANTHUL0057	3351638	1	184215.683774942	194458.445050001
456727_v2016	3358389	1	69206.7737985581	220991.220100001
LIMHAS0544	3358438	0	215930.963424841	185573.863935345
VBRSZI0401	3368246	1	192560.240999709	189883.409807026
535000_v2018	3405102	1	189786.462362985	229235.353400001
ANTRAV0369	3416878	1	197881.01288647	234790.63025
WVLBRU1160	3423489	1	65339.517120554	206904.328600001
WVLJAB0450	3424001	1	61497.70562197	205018.481249999
617965_v2014	3439925	1	78824.8926832855	228588.9231
ANTRAV0188	3447598	1	195275.19520901	228332.33475
LIMZNH0189	3497654	1	217803.6534565	186409.9057
LIMMSK0221	3499090	1	246341.695679951	198055.948800001
543405_v2016	3508342	1	205423.313353399	216785.99955
LIMZNH0150	3514038	1	216907.22077872	186333.7941
WVLDIK0110	3538417	1	44527.4120683532	187166.750250001
WVLBRU0683	3554997	1	69769.1778218135	221180.89075
WVLKOK0125	3567409	1	33019.1372121682	202448.2981
ANTKAS0510	3572270	1	194111.661983335	218653.347200001
ANTMOL0720	3598062	1	205458.741845905	220145.020447237
VBRSZI0542	3619126	1	191199.084468642	191824.44115
WVLGIS0004	3633009	1	49541.52914578	209158.447700001
ANTBSE0336	3648158	1	184711.468318704	225069.87171881
ANTOTH0321	3653678	1	194025.93155004	225069.2061
ANTTUR0082	3667246	1	189499.035773762	229040.047947288
WVLKNO0403	3681589	1	77310.0596720038	227160.464749999
477489_v2018	3690165	1	68985.2635923403	221886.0481
ANTWUU0140	3724766	1	166401.05338636	229389.6112
455989_v2016	3751605	1	69240.2290304192	221210.145599999
ANTBCT0089	3763678	1	164878.625144694	227126.6819
LIMLUM0210	3764918	1	210604.750393844	186445.97085
WVLKNO0107	3823285	1	70635.9442406269	224767.230700001
535017_v2018	3854638	1	190034.554904073	228976.8882
426190_v2020	3864710	1	185072.436867685	180621.29785
WVLHOU0553	3872721	1	50429.0740886428	184615.9712
497100_v2020	3873845	1	76964.9447383513	221458.8716
LIMHAS0514	3882726	1	215719.04882669	185509.0081
LIMNEE0011	3901714	1	223299.56117121	217476.5816
WVLJAB0497	3915521	1	61629.4520110343	205328.5319
ANTLIL0528	3924438	1	179866.550026253	215288.435405511
LIMHAS0663	3964646	1	215289.32313539	185198.957900001
LIMBOC0078	3966482	1	232576.09509918	211761.93645
WVLJAB0422	3981057	1	61317.6060326815	205581.820050001
ANTHGS0022	3984478	1	178259.58153852	242622.84355
ANTKAS0176	3985398	1	188486.853008983	217871.668299999
ANTRIJ0072	3994782	1	175540.453476813	224045.458667695
ANTGRO0161	4140758	1	174105.093363471	208349.90505
VBRARS0046	4141190	1	179423.65428916	184861.61765
ANTLIL0547	4174294	0	181717.07086508	218115.739453684
ANTBCT0404	4200670	0	163089.664836063	225024.493430273
480193_v2018	4210357	1	69753.652347196	221003.5086
ANTHST0273	4260150	1	187359.87843644	191390.1044
ANTRIJ0036	4269214	1	175094.701790359	224905.451199999
WVLZED0153	4275969	1	61332.8886840114	204619.5043
LIMHAS0103	4302566	1	215869.481177683	180805.800100001
LIMHAS0586	4302566	1	215883.642675001	180799.0649
ANTHTS0097	4346838	1	179580.0375253	207731.4029
WVLDEP0042	4347057	1	22958.6671824108	198406.0459
632813_v2020	4349342	1	180640.357858184	232645.913900001
VBRZOU0028	4358630	1	203536.912361327	169899.475755556
WVLDEP0060	4380849	1	26732.0510816433	200495.961550001
ANTBSE0125	4384414	1	180443.29535741	225240.80035
WVLDAM0657	4394037	1	79304.241254614	222044.889450001
ANTMRK0285	4411806	1	182868.910808001	230829.185550001
WVLWIN0589	4416577	1	76557.4867800037	199491.285449998
ANTBAL0594	4417398	1	206959.769956008	204622.882499998
ANTRET0262	4449526	1	196629.40098229	217610.5522
OVLMDG0050	4452033	1	82413.4716225586	216497.181500001
ANTHST0060	4452694	1	184417.91403151	190332.96715
WVLBLA0248	4469429	1	63510.4472805375	221790.145550001
ANTBCT0136	4517342	1	163699.568090833	227021.9373
ANTRAN0277	4532118	1	166629.44317905	212309.344871292
LIMZNH0057	4546230	1	217788.73842542	186521.8166
WVLDEH0198	4550069	1	61283.3947852202	222107.374150001
WVLDIK0947	4586993	1	44333.7756469173	187111.638500001
WVLKNO0066	4603189	1	77544.0885316743	227221.131949998
WVLDEP0101	4609201	1	22684.7247601497	198321.863000002
ANTWUU0178	4625886	1	166431.52056554	229511.5426
LIMGNK0896	4641074	1	222043.416156641	184241.09
WVLDEP0130	4761777	1	26266.1889251832	199208.076549999
LIMMGR0253	4762578	1	230361.182565486	195207.226914929
WVLKNO0015	4767029	1	78371.3220783257	227688.965050001
ANTRIJ0005	4781214	1	175153.338968626	224146.690904038
ANTBCT0275	4811998	1	167265.47500257	220715.129350001
ANTGEE0126	4839158	1	189884.3959759	209483.55845
LIMHEC0567	4839634	1	221730.594834291	199904.47405
ANTBAL0505	4843382	1	208207.40298687	206240.80845
LIMZNH0195	4852434	1	218663.964666193	186501.546700001
467308_v2018	4864734	1	158964.606609346	227790.441100001
LIMZNH0138	4902630	1	218458.871060402	185592.330598055
ANTZAN0152	4904662	1	169982.566868	207926.26535
ANTKAL0018	4947678	1	155090.005251819	229228.440099999
ANTBCT0494	4958430	1	163705.262740724	226281.9923
ANTBRM0421	4961001	1	141524.645135403	199790.341574672
WVLBRU0363	4971189	1	66056.8697944308	224350.83365
ANTBCT0512	4987102	1	162983.1998568	225012.063849999
ANTMEC0269	4987670	1	159928.42325869	189836.0059
WVLHOU0401	5003217	1	50622.2687891654	184909.113
517493_v2020	5027633	1	36079.7847439705	205148.392000001
LIMZNH0432	5033702	1	218418.660098622	184884.034619781
ANTGRO0078	5039830	1	173314.05391549	208940.81135
532897_v2018	5057473	1	73190.1310533495	205622.786149999
ANTBCT0079	5107166	1	163921.389028591	227769.797599999
ANTBSE0021	5125790	1	181419.089222796	224178.507550001
ANTKAL0404	5126878	1	159125.938737241	227801.08405
LIMZNH0478	5148390	1	217180.40722307	185817.5114
WVLODB0163	5151745	1	56508.2372189881	212236.61455
549583_v2018	5227026	1	228871.153178411	218233.909249999
ANTMOL0656	5239926	1	206789.418291895	218123.9813
LIMHMA0144	5244434	1	231266.29866451	211990.3875
ANTOTH0009	5255470	1	192101.97131256	227830.842
669298_v2014	5270581	1	79082.9253283254	219357.827599999
ANTMOL0642	5280886	1	207698.351440539	214896.322099999
LIMMSM0084	5301586	1	245698.523767705	186159.630250001
456724_v2016	5312181	1	68713.7181767635	220671.254099999
LIMHAS0234	5351142	1	216005.916625451	180734.569150001
LIMHAS0740	5351142	1	216012.189149998	180738.6116
LIMHAS0748	5351142	1	215996.074083789	180756.492150001
LIMHAS0878	5351142	1	216012.753457142	180750.18385
LIMHAS0879	5351142	1	216003.078390163	180750.495449999
ANTOTH0170	5364270	1	194318.23134756	226430.2317
WVLJAB0548	5390081	1	61218.9393392851	205239.1281
ANTTUR0343	5394422	1	189620.145784143	217788.756449999
LIMHHE0236	5398226	1	223772.87963278	190557.09705
ANTBCT0789	5451230	1	165234.935555156	228098.2611
ANTBAL0593	5465974	1	207064.514677589	204606.395649999
ANTBCT0376	5478622	1	162731.931530028	226001.124849999
ANTRAV0129	5479214	1	195310.71396171	228124.32955
ANTTUR0269	5542190	1	190818.101751379	229957.08815
WVLDEP0120	5562545	1	24385.7175473077	196110.89435
LIMZNH0079	5594806	1	217719.76279372	186563.46825
VBRHOL0033	5640070	1	176630.01569925	179293.93465
OVLSTL0186	5640477	1	98733.6277619916	219632.7038
ANTBAA0061	5647662	1	186215.834705622	233792.8312
ANTRAV0290	5675822	1	195910.633808611	227949.439550001
WVLBLA0029	5680565	1	62272.5540266222	220970.798350001
380123_v2020	5687282	1	238606.488523254	179677.132199999
ANTKON0008	5700246	1	154276.380507717	203542.606900001
WVLKNO0291	5718069	1	77823.4937067975	226517.26795
LIMKIN0012	5722258	1	243067.222488768	208300.477750001
ANTLIL0178	5738966	1	179503.664555436	214505.706249999
LIMZNH0466	5754550	1	216553.212365121	187581.196500001
WVLDIK0219	5818609	1	42520.1665896903	196967.73965
OVLBLE0193	5858985	1	123734.58463175	190793.991049999
ANTBCT0508	5860574	1	167371.576646084	220741.3419
WVLBLA0469	5911221	1	63227.2280244161	221693.283299999
OVLDNL0080	5979641	1	129009.917306906	176672.710650001
ANTBCT0055	5991902	1	164825.433111225	227253.2138
WVLJAB0429	6012673	1	61471.9078519243	205455.653200001
LIMZNH0513	6016742	1	218099.755861856	185038.76255
LIMZUT0080	6033970	1	232127.29273592	178571.8026
WVLKOK0063	6057777	1	32976.2358518988	202803.6272
ANTRIJ0031	6091934	1	175465.270986686	224019.114250001
ANTBCT0315	6101214	1	162963.577652861	225562.8095
WVLKNO0018	6110517	1	77503.4628980732	227557.0143
WVLKNO0279	6110517	1	77511.4539360207	227573.241049999
618112_v2014	6118965	1	80007.9689800304	228851.9026
ANTMOL0555	6147190	1	207745.068145834	214122.133950001
WVLDEP0096	6156465	1	24048.2242874613	195994.4199
WVLDEP0119	6209713	1	24276.5769112489	196027.5986
LIMZNH0199	6229734	1	218166.29644434	184348.0228
ANTTUR0100	6234414	1	190177.694030256	228241.358000001
ANTBAL0509	6252406	1	207165.596554921	204673.497399999
LIMHEC0422	6285522	1	221491.392269517	200866.966499999
WVLBRU0779	6307509	1	69858.4610060673	221041.6634
LIMHAS0174	6317798	1	216089.131319134	180637.9177
LIMZNH0061	6332086	1	217278.454170994	186290.75385
ANTOTH0395	6351918	1	194032.074282992	219487.244200001
WVLBRU0825	6360757	1	68871.002201875	220787.759650001
ANTHUL0276	6366294	1	184675.891513294	194822.705393951
ANTBCT0611	6399134	1	173764.847563778	225586.796
ANTDES0091	6424694	1	204897.6478731	217733.15775
LIMMGR0035	6426578	1	232946.25648823	195201.744350049
WVLDEP0056	6444209	1	22848.274616902	198445.746900002
LIMZNH0062	6463158	1	217150.384365268	186605.40955
LIMZNH0218	6475446	1	216167.41964602	187151.9063
LIMGNK0397	6476082	1	221830.632954921	184046.985085833
VBRSZI0235	6513974	1	192670.378738713	189782.470318857
LIMKIN0054	6546914	1	251945.30749716	206903.438999999
451336_v2016	6622901	1	69121.2619371937	220912.756100001
LIMBRE0297	6631570	1	240568.064514026	208483.84905
ANTMOL0547	6655094	1	207137.004536668	213109.019549999
WVLBLA0340	6689461	1	63343.9122590944	219620.755900001
VBRHOL0030	6754182	1	176369.52553159	179161.8715
ANTBCT0057	6761950	1	165361.707651718	227882.1176
WVLMID0103	6774385	1	39243.920060907	208154.210600002
LIMBRE0087	6774930	1	240391.480089851	206716.124199999
WVLBLA0313	6786485	1	62804.8813749408	220268.002999999
457373_v2016	6811317	1	68892.0239509037	220609.241599999
ANTRET0249	6812918	1	196556.130976852	214625.378899999
ANTMEC0286	6822678	1	160082.15175167	189484.6424
WVLBRU0809	6835893	1	69030.7224575176	221717.8672
ANTBAL0711	6860406	0	211028.376625	207356.738293544
ANTBAA0046	6886814	1	185401.626157665	233964.863650002
LIMOPG0041	6934482	1	232554.16977563	194239.80875
WVLKNO0407	6950453	1	79884.4169617913	228476.355450001
424263_v2020	6953970	1	239940.044235329	180898.272150001
VBRARS0194	6982966	1	186550.355496981	189519.134749999
WVLODB0050	6993009	1	54432.0059978614	210479.55295
LIMGNK0182	7006514	1	226256.217652699	183131.123488506
ANTLIL0362	7049686	1	179526.402440331	214985.528787207
ANTHST0183	7078198	1	187547.30575527	191422.40175
ANTHST0281	7078198	1	187563.51105488	191443.80125
ANTMEC0261	7084822	1	159926.19046843	189686.88445
ANTBCT0851	7103646	1	173976.623016696	226125.63885
ANTGEE0130	7116534	1	188362.01714757	208891.39385
ANTGEE0154	7116534	1	188344.18065399	208892.2426
WVLKNO0389	7142709	1	77724.6551466591	228000.183950001
457440_v2016	7159477	1	69635.1431658972	221291.9816
420528_v2020	7166962	1	240728.206151615	181498.4989
ANTKAS0268	7196662	1	188363.37134334	217595.63085
WVLBLA0113	7205557	1	63386.8656326394	220818.921050001
VBRHOL0037	7212934	1	176643.11935497	179433.55675
ANTMOL0068	7244918	1	206530.05023667	213201.26905
LIMOVP0094	7257874	1	218789.1250559	208568.193
ANTMOL0767	7261302	1	207592.698875278	213948.501250001
536553_v2018	7279681	1	75850.7396829673	200470.2074
LIMZNH0013	7298742	1	217743.93443711	185942.6645
VBRHOL0040	7307142	1	176983.60896467	180276.1498
WVLZUI0200	7327157	1	61359.1470112348	220192.0986
ANTHST0069	7336278	1	184774.490815759	190405.691649999
LIMLUM0350	7373238	1	204290.606369465	186059.299000001
WVLKNO0067	7388469	1	78659.2495573174	227575.69595
WVLBRU1075	7409333	1	68842.7812873095	220644.203299999
ANTKAL0269	7420638	1	158618.44740363	227373.17375
WVLZED0044	7421697	1	61247.7323073983	204648.893200001
ANTMOL0098	7452398	1	205817.2948528	221287.4451
ANTZAN0172	7476438	1	173970.72156871	212110.22655
ANTTUR0282	7492910	1	189205.842579306	228288.88295
WVLKNO0251	7502645	1	80357.1147718571	225161.402900001
LIMHAS0218	7513830	1	216157.372346608	180722.999199999
LIMHAS0874	7513830	1	216146.354726841	180726.857749999
LIMHEC0578	7518418	1	218962.531123588	198892.681959445
LIMGNK0103	7518514	1	223861.6519814	185220.57295
ANTGEE0005	7547702	1	191887.38173917	198596.379699999
WVLBRU1088	7593653	1	69814.8854372025	220309.636650002
WVLKNO0010	7601461	1	78089.8965594686	228336.719950002
ANTMEC0285	7609110	1	160041.00948878	189896.5417
WVLBRU1161	7617793	1	65387.1371548259	206861.414350001
WVLDAM0435	7629877	1	79166.6259916391	219588.099200001
ANTZWI0031	7681065	1	144752.013533202	215630.599549999
LIMGNK0048	7717170	1	222078.04452325	183680.31475
LIMGNK0053	7717170	1	222085.46438648	183685.7678
WVLDIK0138	7732721	1	44491.3784232974	187213.0866
LIMGNK0897	7786802	1	222041.327506875	184102.48645
597557_v2014	7821870	1	194358.359057568	225457.574100001
LIMMSK0456	7856546	1	251887.19102912	199911.0272
WVLBRN0148	7869505	1	75699.59145373	200517.66235
WVLHOU0566	7885777	1	51196.2658088237	183729.1522
WVLKNO0183	7890997	1	74371.1524343281	225173.576199999
ANTKAP0130	7892958	1	158327.09769818	225519.5288
WVLNWP0092	7943985	1	35607.3313028538	205681.5613
511912_v2018	7964329	1	121243.542533359	191627.140000001
WVLBRU1103	7986869	1	69373.3448477249	220190.532400001
ANTMEC0273	8002326	1	159744.53465137	189786.17265
LIMGNK0181	8005938	1	226014.181056022	182657.62795
LIMZNH0187	8036022	1	217473.42731375	186334.70695
ANTKAS0147	8097782	1	189303.85484091	217167.1691
427760_v2020	8121542	1	162464.463917382	179510.330599999
ANTMOL0654	8123510	1	206377.28543536	218195.4636
WVLDEH0007	8125877	1	59338.8274191865	220797.8017
LIMHHE0149	8138450	1	225098.788337046	191882.7963
LIMBOC0204	8160786	1	232536.03509938	211715.74015
506642_v2020	8164969	1	129535.590740914	214527.793100001
ANTGEE0164	8165110	1	188264.01645946	208876.2217
LIMZNH0299	8167094	1	217568.241489	186063.7573
ANTRIJ0077	8168606	1	174590.159481691	225477.9427
LIMZNH0374	8169170	1	224774.52105809	188752.17585
VBRDIE0205	8190006	1	202109.422446539	191876.26275
WVLKNO0274	8191285	1	77656.3068034016	227807.75285
ANTESS0033	8199966	1	154540.175841254	239423.7206
WVLKNO0282	8207669	1	77343.0736908046	227692.59825
ANTBSE0059	8215198	1	183432.487454817	225049.718500001
ANTHST0377	8257846	1	187504.23192642	191483.82595
WVLKNO0308	8269109	1	77155.4688805465	227703.420949999
LIMKIN0026	8278162	1	242567.23218604	208088.1153
511118_v2018	8321582	1	196406.540363547	223595.606899999
WVLDEH0272	8336385	1	58165.598383986	216404.52695
WVLBRU1092	8380085	1	69748.9662922189	220386.630549999
ANTMEC0106	8395542	1	159857.24114674	189645.3036
LIMLUM0124	8421814	1	204266.30568515	185866.48775
ANTRIJ0090	8447646	1	179876.419712477	225169.227299999
ANTLIL0004	8483486	1	180356.45982465	219630.5406
LIMNEE0133	8489234	1	223056.71168654	217037.819
LIMHAS0860	8496870	1	215918.957548217	180746.632099999
583196_v2020	8512990	1	165513.310793964	227856.949099999
WVLBLA0448	8557237	1	65010.2235993481	220392.504800001
ANTBCT0372	8558814	1	162988.485496847	226123.0558
ANTRIJ0144	8562334	1	180362.204936122	225872.06625
LIMZNH0026	8572598	1	216322.52276295	187205.2052
LIMMSK0134	8578898	1	243091.26909888	196166.73555
ANTMOL0032	8595182	1	205043.669362187	218829.318399999
ANTKAS0589	8622070	1	189023.460583375	217462.27355
LIMGNK0173	8644914	1	226442.999454833	183139.811349999
617551_v2014	8732097	1	76267.8129777257	215248.876599999
LIMMSK0163	8751506	1	243725.516742282	202416.501250001
LIMZNH0349	8760018	1	221911.882914235	186310.7008
568579_v2020	8775134	1	165787.990145346	228043.5791
WVLBLA1185	8777141	1	61926.5287152908	221091.09375
