code_watersurfaces	grts_ranking	in_object	x	y
WVLJAB0436	48897	1	61416.1262994889	205396.016000001
WVLBRD0078	67697	1	53448.031472668	217232.2357
629342_v2020	75230	1	165624.147688808	227584.784399999
WVLDEP0075	144561	1	25946.5470377205	200461.668749999
WVLODB0281	171009	1	56346.3793941204	212086.237199999
ANTKAL0019	197342	1	153601.994441593	233659.939650001
OVLSTL0021	206621	1	93368.5649421529	219995.980350001
LIMHAS0531	212710	1	215950.45127375	185573.99395
ANTTUR0348	218158	1	188580.955819407	219834.97615
ANTBSE0334	222878	1	181406.883976356	224880.879357525
WVLKNO0365	228661	1	79255.8343337792	227984.402900001
ANTMOL0092	231150	1	203875.413675068	220503.707
ANTBRM0246	250601	1	143436.55496346	200320.22955
ANTLIL0230	254422	1	180055.183465162	215136.59815
OVLMOE0016	255241	1	119140.28322821	205914.7484
ANTOTH0271	301614	1	196004.679839337	225555.525905376
LIMGNK0064	377138	0	222096.62920343	183765.525342091
ANTKAS0501	452054	1	185443.96083727	211291.05215
LIMGNK0119	452914	1	225993.27785044	182750.712465959
ANTHST0141	454998	1	184578.1786464	190801.958173989
ANTBCT0464	501982	1	163497.72557188	226401.56365
LIMMSK0444	529234	1	242379.119296712	202202.216500001
WVLKNO0286	539957	1	77967.814157589	227228.13005
474269_v2016	540341	1	69698.545564732	220695.389599999
LIMNEE0167	552466	1	228582.84931186	211485.91625
ANTANT0315	572349	1	151253.867867392	218813.1984
LIMBRE0073	602258	1	240197.587314638	208524.990349999
WVLZED0215	605953	1	61293.4921544382	204401.709650001
ANTBAA0044	617774	1	185900.43329896	234169.97515
LIMHAS0462	687846	1	215326.009578131	185348.367331176
ANTBSE0321	702110	1	180451.552522083	224483.20655
LIMHAS0622	704230	1	215492.83909163	184086.81315
ANTKAS0302	705782	1	195108.457655363	216417.340033856
LIMLNK0118	728050	1	239193.95221043	180984.3594
ANTBCT0152	759262	1	166763.415943132	228850.27915
ANTOTH0015	762158	1	191826.450841614	228255.304046086
ANTHST0290	786742	1	187477.28378322	191343.0744
OVLSTL0219	792861	1	101402.926436828	219581.5842
WVLBLA0235	798133	1	62828.4170189224	221946.258650001
ANTBAL0396	812918	1	207270.216568283	204847.4912
LIMKIN0231	842210	1	253202.31365	205187.54415
511991_v2018	857769	1	122051.378905859	192393.152449999
WVLBRD0088	862321	1	54169.8867674491	216168.680599999
ANTMOL0747	893046	1	205392.396667143	211663.8498
ANTBAA0048	906654	1	184952.101614358	233796.02605
LIMBRE0185	925842	1	240250.740888425	207549.056049999
OVLKRU0240	945449	0	146870.96837915	205896.37055
WVLHOU0552	989137	1	50454.207299998	184570.13205
LIMHHE0286	1012434	1	219109.458607926	190380.683050668
WVLBRU1212	1053121	1	72656.1711454401	210502.550750815
WVLDIK0283	1058033	1	41681.0143351957	196489.288649999
645355_v2014	1076694	1	182201.771599647	216969.254099999
ANTWES0133	1086262	1	186807.950564931	201680.044199999
ANTGEE0859	1103606	1	189179.94633453	209805.0207
ANTBCT0698	1120478	1	162933.14195	225317.873050001
LIMZNH0536	1154742	1	216684.580448676	185833.338399999
377669_v2020	1165618	1	224874.188547529	185287.476300001
ANTARE0262	1186542	1	202299.78919518	224415.89155
413019_v2020	1208662	1	184976.606636786	190792.680650001
VBRTWI0211	1216422	1	186385.996980291	179988.986
WVLBLA0454	1217205	1	64930.4100749996	220603.02575
ANTVOR0058	1222870	1	177242.001465874	215310.319432515
LIMGNK0372	1227058	1	223764.485315536	185180.647192871
LIMGNK0062	1239346	1	226207.594750515	182813.260469784
ANTHUL0168	1254486	1	184110.480164998	194411.413450001
ANTBCT0525	1284318	1	162772.338583006	225899.128400002
ANTARE0025	1304366	1	198859.30029307	231079.3209
ANTBSE0161	1324702	1	181333.955294318	224416.47535
WVLBLA0143	1340085	1	64532.5015950955	220905.764
WVLKOK0145	1371953	1	33153.6563173346	203427.489449998
LIMDPB0315	1382706	1	223355.081341289	181762.883733289
ANTLIL0073	1421782	1	181341.86913661	217890.7718
WVLOSK0614	1428865	1	70198.5251511637	197750.020649999
445336_v2016	1456905	1	107460.052818775	216629.668599999
ANTKAS0420	1470454	1	189096.89820767	214800.6392
ANTKAS0403	1498102	1	190770.954955787	214933.667110364
ANTHGS0622	1520990	0	176615.84860419	240531.8674
WVLZED0171	1523457	1	61733.9521133246	204446.730999999
WVLZUI0046	1527221	1	61977.4379517017	219266.7173
WVLBRU1192	1531573	1	69697.4402610519	219611.72315
LIMGNK0025	1534258	1	225537.034910684	182260.585713014
ANTARE0286	1537582	1	201896.7143734	224135.33
ANTHTS0151	1554390	1	185646.721985358	209884.339844439
443618_v2016	1575689	1	107623.068518189	214844.634099999
ANTHUL0219	1582166	0	183862.857931407	194586.045579569
WVLBLA0108	1602229	1	64531.2345694094	220784.126350001
ANTKAL0319	1639134	1	153422.829973892	233215.25615
WVLZED0220	1654529	1	61424.1747322318	204508.21885
LIMZNH0098	1662646	1	217826.30537855	186615.5747
LIMZNH0276	1662646	1	217810.90873856	186605.99085
LIMDST0108	1675858	1	239704.51123122	190485.839723789
ANTKAS0616	1685462	1	185565.219800328	210058.166902668
ANTKAL0021	1736414	1	154874.39797051	229378.775900001
ANTGEE0477	1752822	1	193889.515018582	203334.68595
WVLOOS0211	1764465	1	48196.1364316941	210721.166399999
413190_v2020	1765718	1	184646.032931843	190866.357799999
LIMHMA0273	1782290	1	228408.38415538	216399.402033981
WVLKNO0373	1801525	1	78951.6198086462	228256.437249999
ANTKAP0106	1806302	1	157504.92206026	224420.910399999
LIMHHE0001	1823954	1	220026.60954108	197537.816686497
WVLKOK0010	1830705	1	32508.8121520864	203689.0954
OVLNAZ0048	1843865	1	92331.5564184449	182736.066082017
VBRARS0544	1859718	1	181294.01674003	184605.50625
208411_v2018	1912329	1	118582.576268867	211899.740049999
ANTGEE0513	1933046	1	193648.07724403	203041.4868
WVLBLA0300	1936821	1	62400.0755124977	219682.155950001
VBRARS0368	1958022	1	179819.74174593	184625.352599999
WVLDEP0169	1975473	1	24186.0043301769	198250.36225
ANTMOL0089	1988334	1	204254.70328933	221293.51395
LIMHAS0165	1999154	1	220940.634419812	182483.573650001
WVLBLA0043	2010549	1	62063.5760598484	220935.75815
LIMGNK0157	2025778	1	226052.01206417	183038.5637
WVLHOU0399	2037713	1	50473.8559808061	184732.46675
ANTKAS0105	2076662	1	188539.141552786	215488.1457
ANTBSE0132	2077342	1	180922.018396338	220432.585200001
ANTMEC0248	2104086	1	159933.07389133	189508.15915
ANTMEC0249	2104086	1	159924.82242612	189524.24585
WVLBRU0815	2113205	1	69816.9504879059	221033.69665
497105_v2020	2124853	1	78882.9923639732	219252.561099999
WVLDEP0167	2135217	1	23869.5629865672	198222.230450001
WVLJAB0441	2146049	1	61214.0598281241	205388.184350001
LIMZNH0043	2150070	1	216029.03730881	187434.24775
ANTHUL0066	2171990	1	184653.6992947	194909.1352
LIMTON0188	2177138	1	228668.052370016	163549.109999999
LIMGNK0865	2193714	1	224554.280672697	184070.75515
LIMNEE0211	2197778	1	223044.02089043	216870.5702
LIMHMA0012	2216554	1	228404.351514742	220373.025
ANTHGS0029	2243678	1	180288.397410563	242274.7466
WVLJAB0174	2244353	1	61447.1929354149	205182.659654483
ANTTUR0142	2248694	1	189572.819035362	217618.463973155
